City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
80,Fenoarivo Atsinanana,84,MG,1621375829,89,-17.3667,49.4167,71.37,7.76
81,Ust-Kuyga,89,RU,1621375829,88,70.0167,135.6,32.85,13.76
82,Cabedelo,12,BR,1621375830,84,-6.9811,-34.8339,74.07,7.99
83,Antofagasta,16,CL,1621375563,79,-23.65,-70.4,63.68,2.84
84,Chokurdakh,100,RU,1621375830,98,70.6333,147.9167,30.76,11.68
85,Kysyl-Syr,13,RU,1621375831,41,63.8986,122.7617,34.7,2.44
86,Raudeberg,100,NO,1621375831,93,61.9875,5.1352,47.19,15.03
87,Albany,52,US,1621375699,56,42.6001,-73.9662,79.45,9.75
88,Kavieng,99,PG,1621375831,74,-2.5744,150.7967,83.48,5.46
89,Iqaluit,51,CA,1621375832,63,63.7506,-68.5145,27.7,13.0
90,Selma,0,US,1621375792,12,36.5708,-119.6121,87.35,11.97
91,Dikson,98,RU,1621375832,94,73.5069,80.5464,12.83,5.46
92,Parkes,0,AU,1621375832,85,-33.1333,148.1833,48.34,2.46
93,Atasū,13,KZ,1621375833,53,48.6814,71.6433,62.4,4.97
94,Wisconsin Rapids,90,US,1621375833,77,44.3836,-89.8174,70.84,9.22
95,Santa Cruz,100,MA,1621375833,70,30.4202,-9.5982,68.45,5.84
96,Bluff,100,NZ,1621375834,90,-46.6,168.3333,50.81,21.94
97,Bowen,38,AU,1621375834,77,-20.0167,148.2333,69.89,14.83
98,Avarua,75,CK,1621375834,78,-21.2078,-159.775,80.65,18.41
99,Cherskiy,42,RU,1621375835,59,68.75,161.3,42.04,11.77
100,Pitkyaranta,100,RU,1621375835,99,61.5734,31.4792,55.06,6.53
101,Kavaratti,100,IN,1621375835,77,10.5669,72.642,83.08,10.96
102,Angoche,0,MZ,1621375836,68,-16.2325,39.9086,74.16,12.21
103,Russellville,75,US,1621375836,65,35.2784,-93.1338,81.07,8.05
104,Yeniseysk,95,RU,1621375837,61,58.4497,92.1703,35.22,3.38
105,Hobart,75,AU,1621375837,65,-42.8794,147.3294,57.06,5.01
106,Vila Velha,75,BR,1621375837,82,-20.3297,-40.2925,79.97,4.0
107,Fallon,20,US,1621375637,11,39.4735,-118.7774,86.41,12.66
108,Middelburg,3,ZA,1621375838,60,-25.7751,29.4648,54.21,4.38
109,Hamilton,1,US,1621375729,55,39.1834,-84.5333,78.89,1.99
110,Joaíma,100,BR,1621375838,61,-16.6542,-41.0306,72.88,1.66
111,Labuhan,91,ID,1621375839,89,-6.8844,112.2051,76.42,6.26
112,Buala,84,SB,1621375839,74,-8.145,159.5921,83.82,7.87
113,Kilindoni,10,TZ,1621375839,77,-7.9139,39.6668,79.99,15.39
114,Celestún,72,MX,1621375840,62,20.8667,-90.4,88.48,13.69
115,Luganville,65,VU,1621375840,86,-15.5333,167.1667,79.07,12.33
116,Una,100,IN,1621375840,81,20.8167,71.0333,79.09,5.48
117,Thompson,60,CA,1621375841,87,55.7435,-97.8558,43.36,14.32
118,Lorengau,90,PG,1621375841,77,-2.0226,147.2712,83.39,6.89
119,Peniche,86,PT,1621375841,78,39.3558,-9.3811,60.75,21.52
